Sort_Order,Ticker,Action,Date,Price,Quantity,Reason,RSI,3M Return,6M Return,9M Return,RS,ST Value,ST Dir,Return %,PnL ₹,Holding Days
114,BLUEJET.NS,BOUGHT,2025-02-13,805.0,20,Entry,73.06,54.6,73.89,114.77,99.0,723.42,Up,,,
115,INDHOTEL.NS,SOLD,2025-02-13,727.54,20,"Close < ST(15,3) (T-1)",57.14,23.98,38.74,44.97,97.0,744.77,Up,-12.59,-2095.94,8.0
116,JUBLFOOD.NS,SOLD,2025-02-13,636.8,22,"Close < ST(15,3) (T-1)",56.91,20.75,19.39,50.96,91.0,660.48,Up,-12.72,-2042.26,7.0
117,JUBLFOOD.NS,BOUGHT,2025-02-06,729.63,22,Entry,56.91,20.75,19.39,50.96,91.0,660.48,Up,,,
118,KIMS.NS,BOUGHT,2025-02-06,654.61,25,Entry,64.45,15.98,51.62,57.66,97.0,576.2,Up,,,
119,SRF.NS,BOUGHT,2025-02-06,2949.67,5,Entry,76.77,26.28,14.23,22.42,87.0,2712.79,Up,,,
120,ZENSARTECH.NS,BOUGHT,2025-02-06,909.42,18,Entry,60.97,19.78,20.15,46.82,92.0,801.12,Up,,,
121,INDHOTEL.NS,BOUGHT,2025-02-05,832.34,20,Entry,57.14,23.98,38.74,44.97,97.0,744.77,Up,,,
122,LAURUSLABS.NS,BOUGHT,2025-02-05,617.87,26,Entry,58.01,25.08,44.74,39.33,97.0,523.61,Up,,,
123,BSE.NS,SOLD,2025-01-29,1708.08,8,"Close < ST(15,3) (T-1)",59.74,33.58,162.18,108.19,99.0,1798.13,Up,-12.09,-1879.33,7.0
124,LLOYDSME.NS,SOLD,2025-01-28,1283.55,11,"Close < ST(15,3) (T-1)",68.05,41.96,89.8,115.99,99.0,1307.42,Up,-10.37,-1634.32,13.0
125,ANANTRAJ.NS,SOLD,2025-01-27,793.02,18,"Close < ST(15,3) (T-1)",62.65,17.19,75.33,168.43,99.0,820.54,Up,-10.24,-1628.65,14.0
126,PTCIL.NS,SOLD,2025-01-23,14547.9,1,"Close < ST(15,3) (T-1)",70.41,24.81,16.38,121.42,97.0,15395.61,Up,-11.84,-1954.2,3.0
127,BSE.NS,BOUGHT,2025-01-22,1943.0,8,Entry,59.74,33.58,162.18,108.19,99.0,1798.13,Up,,,
128,VIJAYA.NS,SOLD,2025-01-21,1064.7,13,"Close < ST(15,3) (T-1)",63.27,21.76,51.43,82.18,96.0,1077.53,Up,-12.09,-1904.19,7.0
