Symbol,Industry,Qtr Profit Var %,QoQ profits %,QoQ sales %,OPM
LLOYDSME,Metals & Mining,169.1,169.1,201.9,31.11
LODHA,Realty,1.3,1.3,14.4,28.2
LUPIN,Healthcare,37.5,37.5,24.3,26.46
MMTC,Services,1164.2,1164.2,36.0,-7047.06
MRF,Automobile and Auto Components,119.3,119.3,15.0,11.94
MGL,Oil Gas & Consumable Fuels,-9.1,-9.1,11.5,12.06
MAHSCOOTER,Financial Services,24.8,24.8,-0.8,86.18
MAHSEAMLES,Capital Goods,30.5,30.5,-22.6,11.33
M&MFIN,Financial Services,-10.2,-10.2,8.8,44.31
M&M,Automobile and Auto Components,47.0,47.0,26.4,16.72
MANAPPURAM,Financial Services,-14.5,-14.5,-1.7,28.58
MRPL,Oil Gas & Consumable Fuels,369.1,369.1,13.0,9.69
MANKIND,Healthcare,7.5,7.5,10.4,19.53
MARICO,Fast Moving Consumer Goods,12.0,12.0,26.6,15.32
MARUTI,Automobile and Auto Components,4.1,4.1,28.7,7.69
MFSL,Financial Services,-34.8,-34.8,59.8,0.7
MAXHEALTH,Healthcare,26.0,26.0,10.7,20.66
MAZDOCK,Capital Goods,9.0,9.0,14.6,23.99
METROPOLIS,Healthcare,32.0,32.0,25.8,15.51
MINDACORP,Automobile and Auto Components,32.3,32.3,24.6,8.06
MSUMI,Automobile and Auto Components,6.8,6.8,25.6,7.18
MOTILALOFS,Financial Services,0.3,0.3,3.7,41.85
MPHASIS,Information Technology,3.4,3.4,12.4,15.21
MCX,Financial Services,150.6,150.6,114.9,72.41
MUTHOOTFIN,Financial Services,101.8,101.8,76.5,75.66
NATCOPHARM,Healthcare,13.9,13.9,36.3,17.38
NBCC,Construction,39.4,39.4,9.5,6.55
NCC,Construction,-36.6,-36.6,-8.9,7.76
NHPC,Power,-5.2,-5.2,-2.9,-11.03
NLCINDIA,Power,-0.3,-0.3,0.7,19.87
NMDC,Metals & Mining,-6.7,-6.7,15.9,26.77
NSLNISP,Metals & Mining,,,41.9,-5.13
NTPCGREEN,Power,-73.4,-73.4,29.3,40.98
NTPC,Power,8.4,8.4,1.8,20.67
NH,Healthcare,-34.3,-34.3,57.4,11.39
NATIONALUM,Metals & Mining,1.8,1.8,1.5,42.15
NAVA,Power,-11.3,-11.3,17.6,32.99
NAVINFLUOR,Chemicals,121.8,121.8,47.2,30.42
NESTLEIND,Fast Moving Consumer Goods,45.1,45.1,18.6,18.13
NETWEB,Information Technology,141.8,141.8,141.0,11.72
NEULANDLAB,Healthcare,-60.1,-60.1,10.5,12.1
NEWGEN,Information Technology,-29.4,-29.4,5.0,24.28
NAM-INDIA,Financial Services,36.7,36.7,29.4,68.48
NIVABUPA,Financial Services,167.3,167.3,65.8,12.6
NUVAMA,Financial Services,0.7,0.7,6.8,39.31
NUVOCO,Construction Materials,,,12.1,5.94
OBEROIRLTY,Realty,0.7,0.7,5.8,55.24
