DATE,Equity,Benchmark_Value,Drawdown,Daily_Return
2021-05-25,196902.44378816796,110872.5792140475,-0.021868117298171064,-0.00509672623685653
2021-05-26,197332.27775728417,111378.91866820722,-0.01973287559485748,0.002182979351839087
2021-05-27,198554.56815492822,111755.67678435148,-0.013661030142588015,0.006194072310600207
2021-05-28,198185.24263155175,112190.16767143573,-0.01549569030505249,-0.0018600706435939474
2021-05-31,199486.85299074365,113125.00923999968,-0.00902981529260094,0.006567645208638062
2021-06-01,201460.95297395898,112988.59552255298,0.0,0.009895890148244213
2021-06-02,206206.11383211327,113534.70142961275,0.0,0.023553749687502235
2021-06-03,206448.76533662988,114443.45800922338,0.0,0.0011767425320579061
2021-06-04,207589.56796419335,114558.07159180993,0.0,0.005525838944608452
2021-06-07,207483.25598299218,115291.4916078251,-0.0005121258367833947,-0.0005121258367833947
2021-06-08,211453.80375063134,115436.03234872733,0.0,0.01913671418364782
2021-06-09,208275.6257950039,114579.45409956547,-0.015030129036484374,-0.015030129036484374
2021-06-10,210190.8809677334,115612.65520380494,-0.005972570653717479,0.009195772022860593
2021-06-11,210405.6606537075,116011.64778699815,-0.004956842006776596,0.0010218316084182888
2021-06-14,208894.58627474023,115928.69033894032,-0.012102962588032784,-0.00718171922881039
2021-06-15,209870.2198349209,116387.55394384904,-0.007489030169341326,0.004670458806900424
2021-06-16,206784.09446870995,115556.20037180505,-0.02208382729037306,-0.014704922731002101
2021-06-17,203486.6395547695,114825.35293875424,-0.03767803678413639,-0.015946366292884373
2021-06-18,198529.85935505066,114495.20200748337,-0.0611194699094747,-0.024359241523494224
2021-06-21,200683.34726974642,115090.0617027342,-0.05093526950021943,0.01084717392986434
2021-06-22,201066.2554881302,115389.4168113118,-0.04912443322491011,0.0019080218841931451
2021-06-23,200498.2932994095,114809.95085113657,-0.05181042032302119,-0.0028247514101351623
2021-06-24,199677.93499252474,115193.98403144299,-0.05569003039545206,-0.00409159745644172
2021-06-25,202258.52527877962,115802.5335431826,-0.04348599225339911,0.01292376289023367
2021-06-28,202751.015558931,115748.21696195827,-0.04115692428954176,0.0024349543707615773
2021-06-29,204113.7766825882,115311.16184445178,-0.03471220161496491,0.006721352886447818
2021-06-30,205347.66157028353,115239.3132773763,-0.028876955968826334,0.006045083814279151
2021-07-01,205073.61881515657,115072.95569652975,-0.03017294946842841,-0.0013345306833852932
2021-07-02,207104.8575999466,115418.07438322951,-0.020566885407336866,0.0099049248583305
2021-07-05,209195.51633712923,116198.96189595356,-0.010679814566804002,0.010094687113621603
2021-07-06,211105.0586344925,116099.75040098466,-0.001649273316218558,0.009128026885078855
2021-07-07,212966.8563487259,116585.98528632891,0.0,0.008819294650143528
2021-07-08,213789.67029831087,115745.22675188932,0.0,0.0038635774772277642
2021-07-09,213725.08364364778,115704.5999871538,-0.0003021037198521759,-0.0003021037198521759
2021-07-12,212142.722590181,115884.63903194705,-0.007703588792815963,-0.007403721764849713
2021-07-13,210682.86857101595,116567.5929886423,-0.014532047890620015,-0.006881471121614635
2021-07-14,211052.645548555,116843.42733868882,-0.012802418124022386,0.0017551354794393959
2021-07-15,214211.6236521927,117350.19277249521,0.0,0.014967725684873923
2021-07-16,213457.31861374056,117538.358840744,-0.0035213076937267163,-0.0035213076937267163
2021-07-19,213904.09307357942,116490.61596072234,-0.001435639081437512,0.002093038846081141
2021-07-20,211382.04714462435,115427.90532527179,-0.013209257552534326,-0.01179054543892033
2021-07-22,214034.0309502426,116921.26467844426,-0.0008290525925822578,0.012545927345493979
2021-07-23,215621.56493156584,117064.9534600531,0.0,0.007417203583351295
2021-07-26,215461.27076080473,116963.16938211986,-0.0007434050987060736,-0.0007434050987060736
2021-07-27,213954.50678375395,116408.93645160458,-0.007731407330899276,-0.006993201013482886
2021-07-28,209797.1230557266,116142.51541649576,-0.02701233467852715,-0.01943115754149205
2021-07-29,209754.74938247836,116695.03607588219,-0.027208853395296995,-0.00020197452010339845
2021-07-30,209648.42223404086,116870.37263947763,-0.027701972664101238,-0.0005069117564704406
2021-08-02,211975.0167469803,117892.03053054595,-0.016911797230220738,0.011097600869813151
2021-08-03,212123.16447494662,119222.0225129408,-0.016224724357832843,0.000698892398924178
2021-08-04,209047.51873825229,119479.89054494741,-0.030488815881658304,-0.014499339307459724
2021-08-05,209303.11745163117,119584.23885330289,-0.02930341165986816,0.0012226823591190428
2021-08-06,207457.91031356965,119354.16808137849,-0.03786103036858668,-0.00881595630551435
2021-08-09,208553.27428146516,119186.52420904976,-0.0327810006032746,0.005279933487423394
2021-08-10,205064.49768539582,118824.73384833436,-0.04896109185331543,-0.016728467141498116
2021-08-11,203051.9826896683,118686.17352757003,-0.05829464342254853,-0.009814058593482389
2021-08-12,207012.55494934236,119502.13336453843,-0.03992647945466776,0.01950521342964251
2021-08-13,207956.64590698396,120300.55286311361,-0.03554801685543174,0.004560549276214854
2021-08-16,210594.92517334138,120347.59438017581,-0.023312323884764563,0.012686679258798517
2021-08-17,210553.64076477205,120709.3847408912,-0.023503790858777296,-0.0001960370532925193
2021-08-18,208987.8369622818,120559.2812069557,-0.030765605339101554,-0.007436602838131523
2021-08-20,204249.34306579744,119262.64927767633,-0.05274157930064982,-0.02267353911768355
2021-08-23,198861.721589357,119148.03569508978,-0.07772804796926547,-0.02637766856711432
2021-08-24,199815.61550781404,120283.02087726248,-0.07330412163907774,0.004796769890319963
2021-08-25,199565.4810327164,120542.60118039795,-0.07446418406222644,-0.0012518264624210573
2021-08-26,199993.23226867832,120656.7887833378,-0.07248037861077417,0.002143412947712031
2021-08-27,199903.33056579746,121388.49652822412,-0.07289732068662547,-0.00044952372568329846
2021-08-30,200216.78086792148,123145.28670643645,-0.07144361496742468,0.0015680094035295244
2021-08-31,200141.63204895175,124496.66119658685,-0.07179213678152796,-0.0003753372651581488
2021-09-01,200531.7805474869,124457.7383504381,-0.06998272361518265,0.0019493620319821492
2021-09-02,202391.3800500504,125595.28776303303,-0.061358356645423884,0.009273340602105273
2021-09-03,202501.08113037265,126236.33701605265,-0.060849589907008506,0.0005420244691010101
2021-09-06,203198.33026062167,126634.47763995249,-0.05761591923742437,0.0034431871985913798
2021-09-07,204137.58012329257,126449.73611396142,-0.05325990845079931,0.0046223306139683284
2021-09-08,206042.58059631503,126615.2333829725,-0.04442498290136698,0.009331944034370876
2021-09-09,206238.38095031894,126896.2045464056,-0.0435169088222922,0.0009502907284368867
2021-09-13,208886.42988525546,127030.91434526553,-0.031235906521910217,0.012839748463572498
2021-09-14,209244.4806359879,127476.94844552092,-0.029575354847284907,0.001714092920871435
2021-09-15,209898.9792016617,128470.80907650704,-0.026539950824122638,0.0031279131649470937
2021-09-16,209542.18000732578,129192.25989970435,-0.02819469808675923,-0.0016998615033432252
2021-09-17,209425.8794549576,128528.11586780031,-0.02873407155993246,-0.0005550221552724777
2021-09-20,208773.3310693375,126813.23874580566,-0.03176043112571714,-0.0031158918244412748
2021-09-21,209959.48182617343,127835.74859616738,-0.026259354472218166,0.005681524315200859
2021-09-22,211741.03198181308,128214.2189834405,-0.0179969612547074,0.00848520933726915
2021-09-23,212888.58000122226,130052.2626911239,-0.012674914641357726,0.005419582631994269
